,loss,accuracy,time,efficiency,max_pooling_size,convolutional_activation,convolutional,kernel_try,kernel_size,dropout,dense_activation,node_variation,node_num,layer,batch_size,epoch,split_iteration
39,1.0578678846359253,0.6302552819252014,116.87484312057495,0.005392565800280844,2,relu,1,32,3,0.3,relu,interleaved,1000,20,60,20,0
40,0.83096843957901,0.7086148858070374,146.3092029094696,0.004843269402851579,2,relu,1,32,3,0.3,relu,equal,1500,20,60,20,0
41,0.9415156841278076,0.6556869149208069,120.03003907203674,0.005462690173143179,2,relu,1,32,3,0.3,relu,ascending,1500,20,60,20,0
42,0.6646431684494019,0.7449324131011963,164.2482500076294,0.004535405479611465,2,relu,1,32,3,0.3,relu,descending,1500,20,60,20,0
43,1.2273770570755005,0.5521771907806396,123.21644687652588,0.004481359467652655,2,relu,1,32,3,0.3,relu,interleaved,1500,20,60,20,0
44,0.7913792729377747,0.6986674070358276,155.92542266845703,0.0044807793051258775,2,relu,1,32,3,0.3,relu,equal,2000,20,60,20,0
45,0.9356626272201538,0.6575638055801392,132.85409903526306,0.004949518384115525,2,relu,1,32,3,0.3,relu,ascending,2000,20,60,20,0
46,0.8714104890823364,0.6936936974525452,169.7651629447937,0.004086195809667552,2,relu,1,32,3,0.3,relu,descending,2000,20,60,20,0
47,1.6556683778762817,0.4222034513950348,126.65284895896912,0.003333548789982713,2,relu,1,32,3,0.3,relu,interleaved,2000,20,60,20,0
48,1.4145053625106812,0.5077890157699585,106.15145301818848,0.004783627556025555,2,relu,1,32,3,0.3,relu,equal,500,25,60,20,0
49,2.8355140686035156,0.1352289766073227,107.8903751373291,0.0012533924034947089,2,relu,1,32,3,0.3,relu,ascending,500,25,60,20,0
50,1.6849209070205688,0.37593844532966614,115.76097679138184,0.0032475403693868446,2,relu,1,32,3,0.3,relu,descending,500,25,60,20,0
51,2.7200591564178467,0.1333521008491516,106.78763699531555,0.0012487597310070768,2,relu,1,32,3,0.3,relu,interleaved,500,25,60,20,0
52,1.404541254043579,0.5188626050949097,120.44221305847168,0.0043079796685819354,2,relu,1,32,3,0.3,relu,equal,1000,25,60,20,0
53,1.6947028636932373,0.42802175879478455,102.42246198654175,0.0041789833059375815,2,relu,1,32,3,0.3,relu,ascending,1000,25,60,20,0
54,1.648297667503357,0.3978978991508484,132.19043707847595,0.003010035430283304,2,relu,1,32,3,0.3,relu,descending,1000,25,60,20,0
55,2.710275173187256,0.171171173453331,111.24558091163635,0.001538678409071316,2,relu,1,32,3,0.3,relu,interleaved,1000,25,60,20,0
56,1.4322525262832642,0.4786036014556885,145.44479894638062,0.0032906202554010165,2,relu,1,32,3,0.3,relu,equal,1500,25,60,20,0
57,1.4158062934875488,0.4923986494541168,125.3432948589325,0.003928400398348284,2,relu,1,32,3,0.3,relu,ascending,1500,25,60,20,0
58,2.593867778778076,0.19022147357463837,171.73079085350037,0.0011076724950094242,2,relu,1,32,3,0.3,relu,descending,1500,25,60,20,0
59,2.3756704330444336,0.23357732594013214,122.30305314064026,0.0019098241617201,2,relu,1,32,3,0.3,relu,interleaved,1500,25,60,20,0
